	eng	ukr	ces	fra	ita	deu	lat	pol	rus	nob
ra	0.01058947547756458	0.011113074204946996	0.011642466035020838	0.009696935745896588	0.011908126300644863	0.01079507511167878	0.010931351114997814	0.011677154406860027	0.012033024944372877	0.009992420918265587
ad	0.002321272653704453	0.0030742049469964666	0.002905944572144045	0.0021455380650943923	0.0018562289648793773	0.0024053891089686652	0.002594373997959481	0.002869059960942209	0.002947261584104306	0.0026127887031792254
da	0.002582149626253807	0.0029858657243816253	0.003989833865934107	0.0026160999383788024	0.0030123577319322767	0.002612862024027957	0.00209881941407958	0.0032628525046009436	0.003083889604559472	0.0024532290877178984
at	0.011824648082288051	0.012137809187279152	0.010025975967558071	0.010856534647918884	0.009865632145518074	0.010470898681898636	0.01055239760967789	0.008406265319735436	0.011876878635281259	0.007858311061470342
si	0.005675405157910428	0.008197879858657244	0.002345312178804358	0.004503949358579351	0.008028671993422913	0.005251658162438325	0.005363649613758927	0.0016394628348241193	0.0059530780341179685	0.005724201204675097
ia	0.007384415529101093	0.012402826855123675	0.0031488852759245763	0.004352697327880791	0.012165043804434396	0.004415282973605555	0.011456055968517708	0.011275325280677645	0.006372721239801695	0.002812238222505884
ay	0.0005111059054028153	0.00022968197879858656	0.00011212647866793743	0.0002632905719567531	0.00014772756467898158	0.00018802232927248326	5.830053927998834e-05	4.018291261823822e-05	0.0	0.00021939447125932427
ya	0.0004844858061630854	3.53356890459364e-05	0.0002522845770028592	0.0004145426026553134	0.00026976337897900986	0.0004668140588834067	0.00017490161783996502	0.00016876823299660052	0.0	0.0003191192309226535
bb	0.0002289328534616777	5.3003533568904595e-05	3.7375492889312474e-05	0.00016805781188728922	0.000526680882768543	0.00019450585786808612	0.0004081037749599184	6.429266018918116e-05	0.0001366280204551665	0.0003390641828553193
cy	0.0012617927039632003	0.0006360424028268552	0.0007848853506755621	0.0008122794241218979	0.00023122575341057985	0.00041494583011858374	0.000524704853519895	0.002483303999807122	9.759144318226178e-05	0.0002792293270573218
y 	0.008049918010094342	0.001872791519434629	0.009652221038664947	0.0005097753627247774	0.00039822213087377644	0.0005251658162438326	2.915026963999417e-05	0.008366082407117198	0.0009759144318226178	0.0008576329331046312
br	0.0010861000489809827	0.0015901060070671379	0.0015417390816841398	0.001232423953840121	0.0012845875189476659	0.0012967057191205743	0.0013992129427197202	0.0013581824464964519	0.0015126673693250576	0.0017950456739399259
re	0.006990438060353089	0.004982332155477032	0.005148474145502794	0.01246428771497395	0.008825116255170466	0.0071448485123543634	0.005975805276198805	0.004797839766617643	0.005982355467072647	0.009493797119948941
ev	0.0006601784611453031	0.0015724381625441695	0.0008409485900095307	0.0007898717158702594	0.000545949695552758	0.0003760446585449665	0.000524704853519895	7.23292427128288e-05	0.0017664051215989381	0.0010969723562966214
vi	0.002252060395681155	0.003939929328621908	0.0035506718244846854	0.002257576606352585	0.0024664080363795186	0.00200989386463689	0.0032065296603993585	0.00040182912618238223	0.0023226763477378304	0.0023335593761219034
to	0.0060693826266584325	0.007332155477031802	0.007951636112201229	0.004873676544731388	0.012364154869871285	0.006224187451778756	0.005684302579798863	0.00787585087317469	0.007221766795487371	0.006262714906857075
or	0.008731392550631429	0.008604240282685513	0.007493786324307152	0.006755924037869027	0.009595868766539064	0.007715399028767417	0.009036583588398192	0.00815713126150236	0.008568528711402585	0.010311540149188241
r 	0.008214962625380667	0.0066254416961130744	0.00581188914428809	0.007624222732620021	0.001560773835521414	0.00914825884839565	0.005392799883398921	0.006035473475259381	0.00691923332162236	0.012365870198252821
bd	9.050833741508189e-05	0.00010600706713780919	0.00010278260544560932	5.0417343566186766e-05	8.349818873159828e-05	6.483528595602871e-05	0.00032065296603993586	8.840240776012409e-05	7.807315454580943e-05	3.9889903865331685e-05
ic	0.010493643120301552	0.0035689045936395758	0.007820821887088636	0.004744832222284466	0.01049508002980243	0.0023794549945862537	0.009211485206238157	0.004138839999678537	0.004538002107975172	0.0004986237983166461
ca	0.00761334838256277	0.0005123674911660778	0.0014202687297938741	0.006419808414094449	0.009647252267296971	0.0025545102666675312	0.00880338143127824	0.0019769993008173204	0.0014638716477339267	0.0007379632215086362
te	0.010104989671401495	0.006872791519434629	0.007138719141858684	0.015500532183070976	0.010784112221565655	0.00968639172183069	0.006704562017198659	0.007273107183901118	0.006323925518210563	0.013024053612030795
du	0.0009317034733905487	0.0009010600706713781	0.0008316047167872026	0.00093552181950591	0.0008414048249107211	0.000849342246023976	0.0023320215711995335	0.0008920606601248885	0.0008685638443221298	0.000638238461845307
uc	0.0012458206444193624	0.0005123674911660778	0.000859636336454187	0.0012772393703433982	0.0009762865144002261	0.0007650563742811388	0.001370062673079726	0.0008920606601248885	0.0004879572159113089	0.00011966971159599506
ce	0.005387908086121345	0.0009363957597173145	0.008213264562426418	0.005954848467872948	0.004945661947948514	0.0024831914521158995	0.004314239906719137	0.0033351817473137725	0.0031619627591052816	0.0010371375004986237
ns	0.0020444236216112612	0.002049469964664311	0.0017566481657976865	0.0023472074393591394	0.0013745086452740026	0.002269235008461005	0.0032939804693193414	0.002282389436715931	0.0023324354920560564	0.004607283896445809
 n	0.0026726579636688888	0.004081272084805653	0.0035506718244846854	0.002560080667749706	0.0027425943529532665	0.0024831914521158995	0.0032939804693193414	0.0033110719997428294	0.003913416871608697	0.0031513024053612033
er	0.015349149221628298	0.011236749116607775	0.009773691390555212	0.014889922133213825	0.01261464943606608	0.02034531273300181	0.012738667832677452	0.011411947183579655	0.010491080142093141	0.02215884159719175
rv	0.00043124560768362545	0.0005830388692579506	0.0005232569004503747	0.0004425522379698616	0.0004367597564422064	0.0003565940727581579	0.0006413059320798717	8.036582523647644e-05	0.0005660303704571184	0.00043878894251864854
ve	0.0029015908171305662	0.001607773851590106	0.0022892489394703893	0.0022687804604784047	0.001971841841584667	0.001607915091709512	0.0023028713015595392	0.00021698772813848638	0.002781356130694461	0.0027125134628425544
vu	0.00025555295270140765	0.00044169611307420494	0.0004298181682270935	0.00021287322839056637	0.0002376486910053182	0.00026582467241971773	0.0015741145605596852	0.00017680481552024817	0.0002830151852285592	0.00017950456739399258
be	0.0018687309666290436	0.0015371024734982333	0.0017099287996860458	0.0017982185871939947	0.0015222362099529842	0.0027490161245356175	0.0019530680658796094	0.0017198286600605959	0.001649295389780224	0.0025928437512465594
el	0.004541388930297932	0.004293286219081272	0.004933565061389247	0.0051817825331914175	0.004984199573516944	0.006477045067007268	0.00419763882815916	0.00470943735885752	0.00459655697388453	0.007977980773066337
li	0.008539727836105373	0.009452296819787986	0.008624394984208854	0.00795473642933169	0.009820671582354905	0.0085841918605782	0.009269785745518146	0.009025082174056304	0.008265995237537573	0.007738641349874347
rr	0.0010914240688289286	7.06713780918728e-05	0.0002709723234475155	0.001153996974959386	0.001168974642242376	0.001108683389848091	0.0009036583588398193	0.0005947071067499256	0.0004001249170472733	0.0009573576927679604
an	0.013256809421385523	0.012102473498233216	0.012333912653473118	0.011836871883928072	0.012126506178865966	0.012234418459902618	0.009357236554438129	0.013179995338782136	0.012481945583011281	0.012784714188838805
nc	0.0026620099239729965	0.0005300353356890459	0.0016164900674627647	0.0026945269172595375	0.0015479279603319374	0.0006224187451778756	0.0017781664480396443	0.0018403773979153105	0.0008978412772768084	0.0002592843751246559
bi	0.002353216772792129	0.0025265017667844523	0.0022892489394703893	0.0025320710324351577	0.003333504611669193	0.0024896749807115023	0.003119078851479376	0.002885133125989504	0.0022250849045555685	0.002572898799313894
ie	0.001629150073471474	0.0008833922261484099	0.007811478013866308	0.009663324183519131	0.0019076124656372839	0.011346175042305024	0.0014575134819997085	0.006887351222766031	0.0005172346488659874	0.0020742750009972474
es	0.00592563409076389	0.0028091872791519436	0.0038683635140438414	0.008133998095344798	0.0068404285383963205	0.00494693231844499	0.006267307972598747	0.0036887913783542688	0.005670062848889409	0.005883760820136423
lb	0.00029814511148497564	0.0	0.0002990039431144998	0.00028009635314548206	0.00030187806695270147	0.00045384700169220097	0.00014575134819997084	0.00032146330094590575	0.0001366280204551665	0.00015955961546132674
